,complains,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,customer_value,churn
0,0.0,0.0,4370.0,71.0,5.0,17.0,3.0,1.0,1.0,197.64,0.0
1,0.0,0.0,318.0,5.0,7.0,4.0,2.0,1.0,2.0,46.035,0.0
2,0.0,0.0,2453.0,60.0,359.0,24.0,3.0,1.0,1.0,1536.52,0.0
3,0.0,0.0,4198.0,66.0,1.0,35.0,1.0,1.0,1.0,240.02,0.0
4,0.0,0.0,2393.0,58.0,2.0,33.0,1.0,1.0,1.0,145.805,0.0
5,0.0,1.0,3775.0,82.0,32.0,28.0,3.0,1.0,1.0,282.28,0.0
6,0.0,0.0,2360.0,39.0,285.0,18.0,3.0,1.0,1.0,1235.96,0.0
7,0.0,2.0,9115.0,121.0,144.0,43.0,3.0,1.0,1.0,945.44,0.0
8,0.0,0.0,13773.0,169.0,0.0,44.0,3.0,1.0,1.0,557.68,0.0
9,0.0,1.0,4515.0,83.0,2.0,25.0,3.0,1.0,1.0,191.92,0.0
10,0.0,0.0,5918.0,95.0,7.0,12.0,3.0,1.0,1.0,268.52,0.0
11,0.0,0.0,2238.0,54.0,8.0,17.0,3.0,1.0,2.0,123.68,0.0
12,0.0,3.0,15140.0,225.0,54.0,32.0,3.0,1.0,1.0,830.6,0.0
13,0.0,1.0,3095.0,27.0,483.0,8.0,3.0,1.0,1.0,2056.88,0.0
14,0.0,0.0,15485.0,182.0,150.0,30.0,2.0,1.0,1.0,1380.015,0.0
15,0.0,1.0,6500.0,86.0,186.0,26.0,3.0,1.0,1.0,1007.44,0.0
16,0.0,0.0,875.0,14.0,0.0,11.0,2.0,1.0,2.0,40.005,1.0
17,0.0,0.0,710.0,14.0,13.0,8.0,3.0,1.0,2.0,80.96,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0
19,0.0,0.0,7508.0,127.0,384.0,43.0,2.0,1.0,1.0,2071.575,0.0
20,0.0,1.0,11465.0,154.0,11.0,47.0,4.0,1.0,1.0,317.975,0.0
21,0.0,1.0,6718.0,75.0,108.0,37.0,2.0,1.0,1.0,791.685,0.0
22,1.0,0.0,955.0,47.0,16.0,17.0,2.0,1.0,2.0,117.09,1.0
23,1.0,8.0,10435.0,93.0,1.0,42.0,5.0,2.0,1.0,159.42,0.0
24,1.0,1.0,5818.0,98.0,26.0,24.0,2.0,1.0,1.0,383.22,1.0
25,0.0,0.0,2840.0,22.0,0.0,14.0,3.0,1.0,1.0,114.48,0.0
