,complains,age_group,tariff_plan,status,churn,frequency_of_sms_log,charge_amount_log,customer_value_sqrt,seconds_of_use_sqrt,frequency_of_use_sqrt,distinct_called_numbers_sqrt
0,0.0,3.0,1.0,1.0,0.0,1.791759469228055,0.0,14.058449416631978,66.10597552415364,8.426149773176359,4.123105625617661
1,0.0,2.0,1.0,2.0,0.0,2.0794415416798357,0.0,6.784909726739184,17.832554500127006,2.23606797749979,2.0
2,0.0,3.0,1.0,1.0,0.0,5.886104031450156,0.0,39.198469357871616,49.52776998815917,7.745966692414834,4.898979485566356
3,0.0,1.0,1.0,1.0,0.0,0.6931471805599453,0.0,15.492578868606737,64.79197481170026,8.12403840463596,5.916079783099616
4,0.0,1.0,1.0,1.0,0.0,1.0986122886681098,0.0,12.074974120055082,48.91829923454004,7.615773105863909,5.744562646538029
5,0.0,3.0,1.0,1.0,0.0,3.4965075614664802,0.6931471805599453,16.801190434013893,61.44102863722254,9.055385138137417,5.291502622129181
6,0.0,3.0,1.0,1.0,0.0,5.655991810819852,0.0,35.15622277776724,48.579831205964474,6.244997998398398,4.242640687119285
7,0.0,3.0,1.0,1.0,0.0,4.976733742420574,1.0986122886681098,30.748008065564182,95.4725091322104,11.0,6.557438524302
8,0.0,3.0,1.0,1.0,0.0,0.0,0.0,23.61524931056202,117.35842534730942,13.0,6.6332495807108
9,0.0,3.0,1.0,1.0,0.0,1.0986122886681098,0.6931471805599453,13.853519408439142,67.19374970932937,9.1104335791443,5.0
10,0.0,3.0,1.0,1.0,0.0,2.0794415416798357,0.0,16.386579875007474,76.9285382676676,9.746794344808963,3.4641016151377544
11,0.0,3.0,1.0,2.0,0.0,2.1972245773362196,0.0,11.121151019566275,47.30750469005948,7.3484692283495345,4.123105625617661
12,0.0,3.0,1.0,1.0,0.0,4.007333185232471,1.3862943611198906,28.820131852578328,123.0447073221762,15.0,5.656854249492381
13,0.0,3.0,1.0,1.0,0.0,6.182084906716632,0.6931471805599453,45.352838940908654,55.632724182804495,5.196152422706632,2.8284271247461903
14,0.0,2.0,1.0,1.0,0.0,5.017279836814924,0.0,37.148553134678075,124.43873994861889,13.490737563232042,5.477225575051661
15,0.0,3.0,1.0,1.0,0.0,5.231108616854587,0.6931471805599453,31.740195336512976,80.62257748298549,9.273618495495704,5.0990195135927845
16,0.0,2.0,1.0,2.0,1.0,0.0,0.0,6.324950592692405,29.58039891549808,3.7416573867739413,3.3166247903554
17,0.0,3.0,1.0,2.0,0.0,2.6390573296152584,0.0,8.997777503361593,26.645825188948457,3.7416573867739413,2.8284271247461903
18,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
